No.,Conference,Division,Location_Name,Team_Name,Payroll
1,Eastern,Atlantic,Boston,Boston Celtics,"$177,770,356"
2,Eastern,Atlantic,Brooklyn,Brooklyn Nets,"$159,371,724"
3,Eastern,Atlantic,New York,New York Knicks,"$167,613,728"
4,Eastern,Atlantic,Philadelphia,Philadelphia 76ers,"$178,540,987"
5,Eastern,Atlantic,Toronto,Toronto Raptors,"$169,719,693"
6,Eastern,Central,Chicago,Chicago Bulls,"$166,632,965"
7,Eastern,Central,Cleveland,Cleveland Cavaliers,"$164,201,507"
8,Eastern,Central,Detroit,Detroit Pistons,"$141,548,608"
9,Eastern,Central,Indiana,Indiana Pacers,"$130,206,705"
10,Eastern,Central,Milwaukee,Milwaukee Bucks,"$187,321,247"
11,Eastern,Southeast,Atlanta,Atlanta Hawks,"$157,902,123"
12,Eastern,Southeast,Charlotte,Charlotte Hornets,"$115,227,894"
13,Eastern,Southeast,Miami,Miami Heat,"$184,865,778"
14,Eastern,Southeast,Orlando,Orlando Magic,"$131,524,034"
15,Eastern,Southeast,Washington,Washington Wizards,"$139,218,145"
16,Western,Northwest,Denver,Denver Nuggets,"$185,281,681"
17,Western,Northwest,Minnesota,Minnesota Timberwolves,"$164,431,694"
18,Western,Northwest,Oklahoma City,Oklahoma City Thunder,"$150,317,898"
19,Western,Northwest,Portland,Portland Trail Blazers,"$161,070,814"
20,Western,Northwest,Utah,Utah Jazz,"$137,658,645"
21,Western,Pacific,Golden State,Golden State Warriors,"$209,671,207"
22,Western,Pacific,LA Clippers,Los Angeles Clippers,"$195,254,427"
23,Western,Pacific,LA Lakers,Los Angeles Lakers,"$165,528,863"
24,Western,Pacific,Phoenix,Phoenix Suns,"$189,053,654"
25,Western,Pacific,Sacramento,Sacramento Kings,"$151,233,805"
26,Western,Southwest,Dallas,Dallas Mavericks,"$167,457,375"
27,Western,Southwest,Houston,Houston Rockets,"$151,789,416"
28,Western,Southwest,Memphis,Memphis Grizzlies,"$152,730,161"
29,Western,Southwest,New Orleans,New Orleans Pelicans,"$168,130,661"
30,Western,Southwest,San Antonio,San Antonio Spurs,"$137,281,719"
