Range,current_team,Player_name,team_number,position,Salary in 2023/24
1,Denver Nuggets,Nikola Jokic,15.0,C,"$47,607,350"
2,Philadelphia Sixers,Joel Embiid,21.0,C,"$47,607,350"
3,Oklahoma City Thunder,Shai Gilgeous-Alexander,2.0,PG,"$33,386,850"
4,Dallas Mavericks,Luka Doncic,77.0,SF,"$40,064,220"
5,Boston Celtics,Jayson Tatum,0.0,SF,"$32,600,060"
6,Golden State Warriors,Stephen Curry,30.0,G,"$51,915,615"
7,Milwaukee Bucks,Giannis Antetokounmpo,34.0,F,"$45,640,084"
8,Indiana Pacers,Tyrese Haliburton,0.0,PG,"$5,808,435"
9,Phoenix Suns,Kevin Durant,35.0,SF,"$47,649,433"
10,Los Angeles Lakers,Anthony Davis,3.0,PF,"$40,600,080"
11,Portland Trail Blazers,Damian Lillard,0.0,G,"$45,640,084"
12,Cleveland Cavaliers,Donovan Mitchell,45.0,SG,"$33,162,030"
13,Cleveland Cavaliers,Darius Garland,10.0,G,"$34,005,250"
14,Sacramento Kings,Domantas Sabonis,10.0,PF,"$30,600,000"
16,Charlotte Hornets,LaMelo Ball,1.0,G,"$10,900,635"
17,Atlanta Hawks,Trae Young,11.0,PG,"$40,064,220"
18,Brooklyn Nets,Mikal Bridges,1.0,SG,"$21,700,000"
19,Miami Heat,Jimmy Butler,22.0,GF,"$45,183,960"
20,Phoenix Suns,Devin Booker,1.0,SG,"$36,016,200"
21,Minnesota Timberwolves,Anthony Edwards,5.0,SF,"$13,534,817"
22,Philadelphia Sixers,James Harden,1.0,SG,"$35,640,000"
23,Los Angeles Lakers,LeBron James,23.0,F,"$47,607,350"
24,Utah Jazz,Lauri Markkanen,23.0,SF,"$17,259,999"
25,Minnesota Timberwolves,Karl-Anthony Towns,32.0,C,"$36,016,200"
26,Minnesota Timberwolves,Rudy Gobert,27.0,C,"$41,000,000"
27,San Antonio Spurs,Victor Wembanyama,1.0,F,"$12,160,632"
28,Los Angeles Clippers,Paul George,13.0,GF,"$45,640,084"
29,Dallas Mavericks,Kyrie Irving,2.0,G,"$37,037,037"
30,Miami Heat,Bam Adebayo,13.0,C,"$32,600,060"
31,Detroit Pistons,Cade Cunningham,2.0,SF,"$11,055,360"
32,Houston Rockets,Fred VanVleet,5.0,G,"$40,806,300"
33,Memphis Grizzlies,Desmond Bane,22.0,SG,"$3,845,083"
34,Memphis Grizzlies,Ja Morant,12.0,G,"$34,005,250"
35,Sacramento Kings,De'Aaron Fox,5.0,PG,"$32,600,060"
36,Toronto Raptors,Pascal Siakam,43.0,F,"$37,893,408"
37,Los Angeles Clippers,Kawhi Leonard,2.0,F,"$45,640,084"
38,Indiana Pacers,Myles Turner,33.0,FC,"$20,975,000"
39,Toronto Raptors,OG Anunoby,3.0,SF,"$18,642,857"
40,Chicago Bulls,DeMar DeRozan,11.0,GF,"$28,600,000"
41,Atlanta Hawks,Dejounte Murray,5.0,SG,"$18,214,000"
42,Boston Celtics,Jaylen Brown,7.0,SF,"$31,830,357"
43,Milwaukee Bucks,Jrue Holiday,21.0,G,"$36,861,707"
44,Milwaukee Bucks,Khris Middleton,22.0,SF,"$29,320,988"
45,Boston Celtics,Kristaps Porzingis,8.0,FC,"$36,016,200"
46,New Orleans Pelicans,Zion Williamson,1.0,PF,"$34,005,250"
47,New York Knicks,Jalen Brunson,11.0,PG,"$26,346,666"
48,Chicago Bulls,Zach LaVine,8.0,SG,"$40,064,220"
49,New Orleans Pelicans,Brandon Ingram,14.0,SF,"$33,833,400"
50,Utah Jazz,Walker Kessler,24.0,C,"$2,831,160"
51,Cleveland Cavaliers,Evan Mobley,4.0,PF,"$8,882,640"
52,Denver Nuggets,Jamal Murray,27.0,SG,"$33,833,400"
53,Chicago Bulls,Nikola Vucevic,9.0,PF,"$18,518,519"
54,New York Knicks,Julius Randle,30.0,PF,"$28,226,880"
55,Phoenix Suns,Bradley Beal,3.0,SG,"$46,741,590"
56,Houston Rockets,Alperen Sengun,28.0,C,"$3,536,280"
57,Portland Trail Blazers,Anfernee Simons,1.0,SG,"$24,107,143"
58,Cleveland Cavaliers,Jarrett Allen,31.0,C,"$20,000,000"
59,Toronto Raptors,Scottie Barnes,4.0,SF,"$8,008,680"
60,Oklahoma City Thunder,Jalen Williams,8.0,G,"$4,558,680"
61,Orlando Magic,Paolo Banchero,5.0,C,"$11,608,080"
62,Washington Wizards,Jordan Poole,13.0,SG,"$27,955,357"
63,Miami Heat,Tyler Herro,14.0,SG,"$27,000,000"
64,Philadelphia Sixers,Tyrese Maxey,0.0,PG,"$4,343,920"
65,Portland Trail Blazers,Jerami Grant,9.0,F,"$27,586,207"
66,Milwaukee Bucks,Brook Lopez,11.0,C,"$25,000,000"
67,Oklahoma City Thunder,Josh Giddey,3.0,G,"$6,587,040"
68,Oklahoma City Thunder,Chet Holmgren,7.0,C,"$10,386,000"
69,Phoenix Suns,Deandre Ayton,22.0,C,"$32,459,438"
70,Toronto Raptors,Jakob Poeltl,19.0,C,"$20,000,000"
71,Orlando Magic,Franz Wagner,22.0,SF,"$5,508,720"
72,,CJ McCollum,,,"$35,802,469"
73,San Antonio Spurs,Devin Vassell,24.0,SG,"$5,887,899"
74,Brooklyn Nets,Cameron Johnson,2.0,G,"$25,679,348"
75,Atlanta Hawks,Clint Capela,15.0,PF,"$20,616,000"
76,,Wendell Carter,,,"$13,050,000"
77,Charlotte Hornets,Miles Bridges,0.0,SF,"$7,921,300"
78,Washington Wizards,Tyus Jones,5.0,PG,"$14,000,000"
79,Boston Celtics,Derrick White,9.0,G,"$18,357,143"
80,Washington Wizards,Daniel Gafford,21.0,C,"$12,402,000"
81,Portland Trail Blazers,Scoot Henderson,,G,"$9,770,904"
82,Charlotte Hornets,Mark Williams,5.0,C,"$3,908,160"
83,Los Angeles Clippers,Mason Plumlee,44.0,PF,"$5,000,000"
84,Boston Celtics,Robert Williams,44.0,PF,"$11,571,429"
85,Golden State Warriors,Chris Paul,3.0,PG,"$30,800,000"
86,New Orleans Pelicans,Jonas Valanciunas,17.0,C,"$15,435,000"
87,,Michael Porter,,,"$33,386,850"
88,Houston Rockets,Jalen Green,4.0,SG,"$9,891,480"
89,Golden State Warriors,Klay Thompson,11.0,G,"$43,219,440"
90,Memphis Grizzlies,Marcus Smart,36.0,PG,"$18,583,713"
91,Washington Wizards,Kyle Kuzma,33.0,F,"$25,568,182"
92,Utah Jazz,John Collins,20.0,PF,"$25,340,000"
93,Philadelphia Sixers,Tobias Harris,33.0,F,"$39,270,150"
94,Golden State Warriors,Draymond Green,23.0,F,"$22,321,429"
95,Golden State Warriors,Andrew Wiggins,22.0,F,"$24,330,357"
96,Charlotte Hornets,Terry Rozier,3.0,G,"$23,205,221"
97,Charlotte Hornets,Brandon Miller,24.0,F,"$10,880,364"
98,,Trey Murphy,,,"$3,359,280"
99,Los Angeles Lakers,D'Angelo Russell,1.0,SG,"$17,307,693"
100,Orlando Magic,Markelle Fultz,20.0,PG,"$17,000,000"
101,Brooklyn Nets,Spencer Dinwiddie,26.0,PG,"$20,357,143"
102,New York Knicks,Mitchell Robinson,23.0,C,"$15,681,818"
103,New York Knicks,Isaiah Hartenstein,55.0,PF,"$9,245,121"
104,Memphis Grizzlies,Steven Adams,4.0,C,"$12,600,000"
105,,Jabari Smith,,,"$9,326,520"
107,Indiana Pacers,Buddy Hield,24.0,G,"$19,279,841"
108,Indiana Pacers,Bennedict Mathurin,0.0,GF,"$6,916,080"
109,Portland Trail Blazers,Jusuf Nurkic,27.0,FC,"$16,875,000"
110,Los Angeles Lakers,Austin Reaves,15.0,PG,"$12,015,150"
111,Utah Jazz,Collin Sexton,2.0,PG,"$17,325,000"
112,Boston Celtics,Malcolm Brogdon,13.0,SG,"$22,500,000"
113,Los Angeles Clippers,Ivica Zubac,40.0,C,"$10,933,333"
114,Atlanta Hawks,Onyeka Okongwu,17.0,PF,"$8,109,063"
115,Sacramento Kings,Kevin Huerter,9.0,SF,"$15,669,643"
116,Detroit Pistons,Jalen Duren,0.0,PF,"$4,330,680"
117,Portland Trail Blazers,Shaedon Sharpe,17.0,F,"$6,313,800"
118,Detroit Pistons,Bojan Bogdanovic,44.0,F,"$20,000,000"
119,Sacramento Kings,Keegan Murray,13.0,F,"$8,409,000"
120,Denver Nuggets,Kentavious Caldwell-Pope,5.0,SG,"$14,704,938"
121,San Antonio Spurs,Keldon Johnson,3.0,SF,"$20,000,000"
122,New York Knicks,Josh Hart,3.0,SG,"$12,960,000"
123,Los Angeles Clippers,Russell Westbrook,0.0,G,"$3,835,738"
124,Minnesota Timberwolves,Mike Conley,10.0,PG,"$24,360,000"
125,San Antonio Spurs,Tre Jones,33.0,PG,"$9,895,833"
126,Denver Nuggets,Aaron Gordon,50.0,F,"$22,266,182"
127,Detroit Pistons,Jaden Ivey,23.0,G,"$7,614,480"
128,Minnesota Timberwolves,Kyle Anderson,1.0,PF,"$9,219,512"
129,New York Knicks,Immanuel Quickley,5.0,PG,"$4,171,548"
130,Minnesota Timberwolves,Jaden McDaniels,3.0,F,"$3,901,399"
131,Sacramento Kings,Harrison Barnes,40.0,SF,"$17,000,000"
132,,Kevin Porter,,,"$15,860,000"
133,Houston Rockets,Amen Thompson,1.0,G,"$8,809,284"
134,Utah Jazz,Talen Horton-Tucker,0.0,SF,"$11,020,000"
135,Washington Wizards,Deni Avdija,8.0,SG,"$6,263,188"
136,Washington Wizards,Delon Wright,55.0,G,"$8,195,122"
138,San Antonio Spurs,Jeremy Sochan,10.0,SG,"$5,316,960"
139,Houston Rockets,Tari Eason,17.0,F,"$3,527,160"
140,Philadelphia Sixers,De'Anthony Melton,8.0,SG,"$8,000,000"
141,Los Angeles Clippers,Norman Powell,24.0,SG,"$18,000,000"
142,Indiana Pacers,Jarace Walker,5.0,G,"$6,059,460"
143,,RJ Barrett,,,"$23,883,929"
144,Utah Jazz,Kelly Olynyk,41.0,C,"$12,195,122"
145,Utah Jazz,Taylor Hendricks,0.0,F,"$5,569,872"
146,,Bruce Brown,,,"$22,000,000"
148,Detroit Pistons,Monte Morris,5.0,G,"$9,800,926"
