Team Number,Player Name,Position,Height,Weight,Team
5,Precious Achiuwa,SF,6-8,244,Toronto Raptors
4,Steven Adams,C,6-11,265,Memphis Grizzlies
13,Bam Adebayo,C,6-10,255,Miami Heat
30,Ochai Agbaji,SF,6-5,215,Utah Jazz
7,Santi Aldama,C,6-11,224,Memphis Grizzlies
9,Nickeil Alexander-Walker,SG,6-5,205,Minnesota Timberwolves
7,Grayson Allen,SG,6-4,198,Milwaukee Bucks
31,Jarrett Allen,C,6-11,248,Cleveland Cavaliers
15,Jose Alvarado,G,6-0,179,New Orleans Pelicans
1,Kyle Anderson,PF,6-9,230,Minnesota Timberwolves
34,Giannis Antetokounmpo,F,6-11,242,Milwaukee Bucks
43,Thanasis Antetokounmpo,SF,6-7,215,Milwaukee Bucks
50,Cole Anthony,PG,6-3,195,Orlando Magic
3,OG Anunoby,SF,6-7,240,Toronto Raptors
8,Deni Avdija,SG,6-9,210,Washington Wizards
22,Deandre Ayton,C,7-1,250,Phoenix Suns
20,Udoka Azubuike,C,6-10,280,Phoenix Suns
41,Ibou Badji,C,7-1,240,Portland Trail Blazers
35,Marvin Bagley III,PF,6-11,235,Detroit Pistons
17,Amari Bailey,G,6-5,185,Charlotte Hornets
7,"Patrick Baldwin, Jr.",SG,6-9,220,Washington Wizards
1,LaMelo Ball,G,6-7,180,Charlotte Hornets
2,Lonzo Ball,PG,6-6,190,Chicago Bulls
7,Mohamed Bamba,C,7-0,230,Philadelphia Sixers
5,Paolo Banchero,C,6-10,255,Orlando Magic
22,Desmond Bane,SG,6-6,215,Memphis Grizzlies
45,Dalano Banton,PG,6-7,203,Boston Celtics
26,Dominick Barlow,F,6-10,220,San Antonio Spurs
40,Harrison Barnes,SF,6-8,225,Sacramento Kings
4,Scottie Barnes,SF,6-8,225,Toronto Raptors
9,R.J. Barrett,SG,6-7,202,New York Knicks
28,Charles Bassey,PF,6-11,230,San Antonio Spurs
21,Emoni Bates,SF,6-9,190,Cleveland Cavaliers
31,Keita Bates-Diop,SF,6-8,230,Phoenix Suns
33,Nicolas Batum,F,6-8,230,Los Angeles Clippers
55,Darius Bazley,PF,6-9,216,Brooklyn Nets
3,Bradley Beal,SG,6-3,207,Phoenix Suns
5,Malik Beasley,SG,6-4,187,Milwaukee Bucks
0,MarJon Beauchamp,SG,6-7,202,Milwaukee Bucks
44,Davis Bertans,SF,6-10,225,Oklahoma City Thunder
22,Patrick Beverley,PG,6-1,180,Philadelphia Sixers
41,Saddiq Bey,F,6-8,215,Atlanta Hawks
92,Khem Birch,PF,6-8,226,San Antonio Spurs
35,Goga Bitadze,C,6-11,245,Orlando Magic
,Onuralp Bitim,SG,6-6,205,Chicago Bulls
0,Anthony Black,G,6-7,200,Orlando Magic
,Leaky Black,SF,6-9,205,Charlotte Hornets
27,Buddy Boeheim,SG,6-6,205,Detroit Pistons
13,Bogdan Bogdanovic,SG,6-6,220,Atlanta Hawks
44,Bojan Bogdanovic,F,6-8,216,Detroit Pistons
10,Bol Bol,C,7-2,220,Phoenix Suns
1,Devin Booker,SG,6-6,206,Phoenix Suns
4,"B.J. Boston, Jr.",SG,6-6,188,Los Angeles Clippers
25,Chris Boucher,PF,6-9,198,Toronto Raptors
2,James Bouknight,G,6-4,185,Charlotte Hornets
,Souley Boum,G,6-3,175,Denver Nuggets
11,Jamaree Bouyea,G,6-2,180,Miami Heat
22,Malaki Branham,GF,6-5,195,San Antonio Spurs
0,Christian Braun,SF,6-6,210,Denver Nuggets
1,Mikal Bridges,SG,6-7,210,Brooklyn Nets
0,Miles Bridges,SF,6-7,225,Charlotte Hornets
12,Oshae Brissett,PF,6-7,210,Boston Celtics
13,Malcolm Brogdon,SG,6-5,229,Boston Celtics
13,Armoni Brooks,SG,6-3,195,Brooklyn Nets
9,Dillon Brooks,F,6-6,220,Houston Rockets
4,Greg Brown III,SF,6-7,206,Dallas Mavericks
7,Jaylen Brown,SF,6-6,220,Boston Celtics
11,"Bruce Brown, Jr.",SG,6-4,202,Indiana Pacers
23,"Troy Brown, Jr.",SF,6-6,215,Minnesota Timberwolves
10,Kendall Brown,G,6-8,205,Indiana Pacers
21,Kobe Brown,GF,6-7,250,Los Angeles Clippers
11,Jalen Brunson,PG,6-1,190,New York Knicks
13,Thomas Bryant,C,6-10,248,Miami Heat
4,Kobe Bufkin,G,6-4,195,Atlanta Hawks
25,Reggie Bullock,SG,6-6,205,San Antonio Spurs
5,Alec Burks,SG,6-6,214,Detroit Pistons
14,Jared Butler,PG,6-3,193,Washington Wizards
22,Jimmy Butler,GF,6-8,232,Miami Heat
21,John Butler,C,7-0,190,Portland Trail Blazers
54,Jamal Cain,F,6-7,205,Miami Heat
5,Kentavious Caldwell-Pope,SG,6-5,204,Denver Nuggets
20,Toumani Camara,SF,6-8,220,Phoenix Suns
31,Vlatko Cancar,SF,6-8,236,Denver Nuggets
15,Clint Capela,PF,6-10,240,Atlanta Hawks
5,Jevon Carter,PG,6-1,195,Chicago Bulls
34,"Wendell Carter, Jr.",PF,6-10,265,Orlando Magic
6,Alex Caruso,G,6-5,186,Chicago Bulls
,Colin Castleton,PF,6-11,231,Los Angeles Lakers
20,Malcolm Cazalon,G,6-6,186,Detroit Pistons
30,Julian Champagnie,F,6-9,210,San Antonio Spurs
99,Justin Champagnie,F,6-6,210,Miami Heat
10,Max Christie,F,6-5,190,Los Angeles Lakers
9,Josh Christopher,G,6-5,215,Memphis Grizzlies
25,Sidy Cissoko,GF,6-7,225,San Antonio Spurs
0,Jaylen Clark,G,6-5,205,Minnesota Timberwolves
15,Brandon Clarke,PF,6-8,210,Memphis Grizzlies
00,Jordan Clarkson,G,6-5,192,Utah Jazz
33,Nicolas Claxton,C,6-11,226,Brooklyn Nets
21,Noah Clowney,F,6-10,210,Brooklyn Nets
7,Amir Coffey,SF,6-7,210,Los Angeles Clippers
20,John Collins,PF,6-9,235,Utah Jazz
23,Zach Collins,C,6-11,250,San Antonio Spurs
10,Mike Conley,PG,6-1,175,Minnesota Timberwolves
24,Pat Connaughton,SF,6-4,209,Milwaukee Bucks
12,Xavier Cooks,GF,6-8,183,Washington Wizards
0,Bilal Coulibaly,GF,6-6,195,Washington Wizards
,Ricky Council IV,G,6-6,205,Philadelphia Sixers
23,Robert Covington,F,6-7,209,Los Angeles Clippers
12,Torrey Craig,GF,6-7,221,Chicago Bulls
99,Jae Crowder,SF,6-6,235,Milwaukee Bucks
2,Cade Cunningham,SF,6-6,220,Detroit Pistons
30,Seth Curry,G,6-1,190,Dallas Mavericks
30,Stephen Curry,G,6-3,198,Golden State Warriors
,Caleb Daniels,G,6-4,210,Miami Heat
11,Dyson Daniels,GF,6-8,200,New Orleans Pelicans
3,Anthony Davis,PF,6-10,253,Los Angeles Lakers
1,Johnny Davis,F,6-4,195,Washington Wizards
20,J.D. Davison,F,6-3,195,Boston Celtics
5,Darius Days,PF,6-7,240,Houston Rockets
11,DeMar DeRozan,GF,6-6,220,Chicago Bulls
0,Donte DiVincenzo,SG,6-4,206,New York Knicks
