Range,current_team,Player_name,team_number,position
1,Denver Nuggets,Nikola Jokic,15.0,C
2,Philadelphia Sixers,Joel Embiid,21.0,C
3,Oklahoma City Thunder,Shai Gilgeous-Alexander,2.0,PG
4,Dallas Mavericks,Luka Doncic,77.0,SF
5,Boston Celtics,Jayson Tatum,0.0,SF
6,Golden State Warriors,Stephen Curry,30.0,G
7,Milwaukee Bucks,Giannis Antetokounmpo,34.0,F
8,Indiana Pacers,Tyrese Haliburton,0.0,PG
9,Phoenix Suns,Kevin Durant,35.0,SF
10,Los Angeles Lakers,Anthony Davis,3.0,PF
11,Portland Trail Blazers,Damian Lillard,0.0,G
12,Cleveland Cavaliers,Donovan Mitchell,45.0,SG
13,Cleveland Cavaliers,Darius Garland,10.0,G
14,Sacramento Kings,Domantas Sabonis,10.0,PF
15,,Jaren Jackson,,
16,Charlotte Hornets,LaMelo Ball,1.0,G
17,Atlanta Hawks,Trae Young,11.0,PG
18,Brooklyn Nets,Mikal Bridges,1.0,SG
19,Miami Heat,Jimmy Butler,22.0,GF
20,Phoenix Suns,Devin Booker,1.0,SG
21,Minnesota Timberwolves,Anthony Edwards,5.0,SF
22,Philadelphia Sixers,James Harden,1.0,SG
23,Los Angeles Lakers,LeBron James,23.0,F
24,Utah Jazz,Lauri Markkanen,23.0,SF
25,Minnesota Timberwolves,Karl-Anthony Towns,32.0,C
26,Minnesota Timberwolves,Rudy Gobert,27.0,C
27,San Antonio Spurs,Victor Wembanyama,1.0,F
28,Los Angeles Clippers,Paul George,13.0,GF
29,Dallas Mavericks,Kyrie Irving,2.0,G
30,Miami Heat,Bam Adebayo,13.0,C
31,Detroit Pistons,Cade Cunningham,2.0,SF
32,Houston Rockets,Fred VanVleet,5.0,G
33,Memphis Grizzlies,Desmond Bane,22.0,SG
34,Memphis Grizzlies,Ja Morant,12.0,G
35,Sacramento Kings,De'Aaron Fox,5.0,PG
36,Toronto Raptors,Pascal Siakam,43.0,F
37,Los Angeles Clippers,Kawhi Leonard,2.0,F
38,Indiana Pacers,Myles Turner,33.0,FC
39,Toronto Raptors,OG Anunoby,3.0,SF
40,Chicago Bulls,DeMar DeRozan,11.0,GF
41,Atlanta Hawks,Dejounte Murray,5.0,SG
42,Boston Celtics,Jaylen Brown,7.0,SF
43,Milwaukee Bucks,Jrue Holiday,21.0,G
44,Milwaukee Bucks,Khris Middleton,22.0,SF
45,Boston Celtics,Kristaps Porzingis,8.0,FC
46,New Orleans Pelicans,Zion Williamson,1.0,PF
47,New York Knicks,Jalen Brunson,11.0,PG
48,Chicago Bulls,Zach LaVine,8.0,SG
49,New Orleans Pelicans,Brandon Ingram,14.0,SF
50,Utah Jazz,Walker Kessler,24.0,C
51,Cleveland Cavaliers,Evan Mobley,4.0,PF
