Player_name,Salary in 2023/24
Stephen Curry,"$51,915,615"
Kevin Durant,"$47,649,433"
Nikola Jokic,"$47,607,350"
LeBron James,"$47,607,350"
Joel Embiid,"$47,607,350"
Bradley Beal,"$46,741,590"
Paul George,"$45,640,084"
Kawhi Leonard,"$45,640,084"
Giannis Antetokounmpo,"$45,640,084"
Damian Lillard,"$45,640,084"
Jimmy Butler,"$45,183,960"
Klay Thompson,"$43,219,440"
Rudy Gobert,"$41,000,000"
Fred VanVleet,"$40,806,300"
Anthony Davis,"$40,600,080"
Trae Young,"$40,064,220"
Zach LaVine,"$40,064,220"
Luka Doncic,"$40,064,220"
Tobias Harris,"$39,270,150"
Ben Simmons,"$37,893,408"
Pascal Siakam,"$37,893,408"
Kyrie Irving,"$37,037,037"
Jrue Holiday,"$36,861,707"
Karl-Anthony Towns,"$36,016,200"
Devin Booker,"$36,016,200"
Kristaps Porzingis,"$36,016,200"
CJ McCollum,"$35,802,469"
James Harden,"$35,640,000"
Darius Garland,"$34,005,250"
Ja Morant,"$34,005,250"
Zion Williamson,"$34,005,250"
Jamal Murray,"$33,833,400"
Brandon Ingram,"$33,833,400"
Michael Porter,"$33,386,850"
Shai Gilgeous-Alexander,"$33,386,850"
Donovan Mitchell,"$33,162,030"
Jayson Tatum,"$32,600,060"
Bam Adebayo,"$32,600,060"
De'Aaron Fox,"$32,600,060"
Deandre Ayton,"$32,459,438"
Jaylen Brown,"$31,830,357"
Gordon Hayward,"$31,500,000"
Chris Paul,"$30,800,000"
Domantas Sabonis,"$30,600,000"
Kyle Lowry,"$29,682,540"
Khris Middleton,"$29,320,988"
DeMar DeRozan,"$28,600,000"
Julius Randle,"$28,226,880"
Jordan Poole,"$27,955,357"
Jerami Grant,"$27,586,207"
Jaren Jackson Jr,"$27,102,202"
Tyler Herro,"$27,000,000"
Jalen Brunson,"$26,346,666"
Cameron Johnson,"$25,679,348"
Kyle Kuzma,"$25,568,182"
John Collins,"$25,340,000"
Brook Lopez,"$25,000,000"
Mike Conley,"$24,360,000"
Andrew Wiggins,"$24,330,357"
Anfernee Simons,"$24,107,143"
RJ Barrett,"$23,883,929"
Jordan Clarkson,"$23,487,629"
Terry Rozier,"$23,205,221"
Dillon Brooks,"$22,627,671"
Malcolm Brogdon,"$22,500,000"
Draymond Green,"$22,321,429"
Aaron Gordon,"$22,266,182"
Bruce Brown,"$22,000,000"
Mikal Bridges,"$21,700,000"
Myles Turner,"$20,975,000"
Clint Capela,"$20,616,000"
Lonzo Ball,"$20,465,117"
Spencer Dinwiddie,"$20,357,143"
De'Andre Hunter,"$20,089,286"
Jarrett Allen,"$20,000,000"
Jakob Poeltl,"$20,000,000"
Bojan Bogdanovic,"$20,000,000"
